File Name,Start Time,End Time
slow_samples/Proper-divisors/proper-divisors-4.py,11:16:52.657,11:16:58.966
slow_samples/Proper-divisors/proper-divisors-1.py,11:17:02.971,11:17:03.003
slow_samples/Proper-divisors/proper-divisors-2.py,11:17:07.007,11:17:07.191
slow_samples/Proper-divisors/proper-divisors-3.py,11:17:11.197,11:17:11.361
slow_samples/100-prisoners/100-prisoners-2.py,11:17:15.365,11:17:18.023
slow_samples/100-prisoners/100-prisoners-3.py,11:17:22.024,11:17:24.628
slow_samples/100-prisoners/100-prisoners-1.py,11:17:28.633,11:17:34.197
slow_samples/Sorting-algorithms-Sleep-sort/sorting-algorithms-sleep-sort-1.py,11:17:38.208,11:17:48.243
slow_samples/Sorting-algorithms-Sleep-sort/sorting-algorithms-sleep-sort-2.py,11:17:52.254,11:17:52.299
slow_samples/Narcissistic-decimal-number/narcissistic-decimal-number-1.py,11:17:56.310,11:17:59.737
slow_samples/Narcissistic-decimal-number/narcissistic-decimal-number-2.py,11:18:03.748,11:18:03.780
slow_samples/Narcissistic-decimal-number/narcissistic-decimal-number-3.py,11:18:07.789,11:18:07.862
slow_samples/Abundant-odd-numbers/abundant-odd-numbers-1.py,11:18:11.863,11:18:14.704
slow_samples/Abundant-odd-numbers/abundant-odd-numbers-2.py,11:18:18.708,11:18:21.525
slow_samples/Vampire-number/vampire-number-2.py,11:18:25.535,11:18:25.555
slow_samples/Vampire-number/vampire-number-1.py,11:18:29.558,11:18:31.111
slow_samples/The-sieve-of-Sundaram/the-sieve-of-sundaram-1.py,11:18:35.120,11:18:44.081
slow_samples/The-sieve-of-Sundaram/the-sieve-of-sundaram-2.py,11:18:48.084,11:18:53.383
slow_samples/Paraffins/paraffins-2.py,11:18:57.391,11:18:58.382
slow_samples/Paraffins/paraffins-3.py,11:19:02.387,11:19:08.643
slow_samples/Paraffins/paraffins-1.py,11:19:12.649,11:19:12.671
slow_samples/Eulers-sum-of-powers-conjecture/eulers-sum-of-powers-conjecture-3.py,11:19:16.681,11:19:16.751
slow_samples/Eulers-sum-of-powers-conjecture/eulers-sum-of-powers-conjecture-2.py,11:19:20.756,11:19:35.278
slow_samples/Eulers-sum-of-powers-conjecture/eulers-sum-of-powers-conjecture-1.py,11:19:39.283,11:19:42.519
slow_samples/Eulers-sum-of-powers-conjecture/eulers-sum-of-powers-conjecture-4.py,11:19:46.524,11:19:46.607
slow_samples/Non-transitive-dice/non-transitive-dice-2.py,11:19:50.617,11:19:51.314
slow_samples/Non-transitive-dice/non-transitive-dice-1.py,11:19:55.326,11:19:59.975
